Player Name,Team Name,League,Nationality,Country ,Age,Height,Pos,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT%,2PA,2PM,2P%,3PA,3PM,3P%,TO,TYPE
De Souza Thiago,Sorocabana,CBB,Brazilian,Brazil,18,185,G,4,"0,3","2,5","0,5","0,5",0,"0,5",0,0,0,"0,3","0,5","0,5",100,0,0,0,0,0,0,"0,5",
Guilherme Luiz,Mogi,NBB,Brazilian,Brazil,18,185,G,2,"1,5","1,5","1,5",0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5","0,5",100,0,
Bueris Arthur,Mogi,NBB,Brazilian,Brazil,18,181,PG,3,"1,3",6,1,"0,7",0,"0,7","0,7",0,"0,7","0,7","0,7","0,3","42,9","0,3","0,3",100,"0,3",0,0,"0,7",
Siqueira Lucas,Pato,NBB,Brazilian,Brazil,18,175,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Soligo Gustavo,Pato,NBB,Brazilian,Brazil,18,173,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Duarte Isaque,Flamengo,NBB,Brazilian,Brazil,18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fagundes Thaylor,U.Corinthians,NBB,Brazilian,Brazil,18,,,27,"1,5","10,9","2,8",1,"0,3","0,7","1,1",0,"0,4","1,6","0,6","0,5","83,3","1,3","0,6","46,2",1,"0,3",30,"0,9",
Hadid Felipe,Flamengo,LDB U20,Brazilian,Brazil,18,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marun Yan,Flamengo,NBB,Brazilian,Brazil,18,,,1,2,4,2,1,0,1,1,0,0,0,0,0,0,2,1,50,1,0,0,0,
Meili Vitor,Pinheiros,LDB U20,Brazilian,Brazil,18,,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Farias Vitor,Sesi Franca,NBB,Brazilian,Brazil,19,206,C,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Santos Felipe,Benfica U23,Proliga,Brazilian,Portugal,19,206,C,19,"1,3","8,3","1,4","1,4","0,5","0,9","0,2","0,1",0,"0,7","0,7","0,3","42,9","0,9","0,5","55,6","0,3","0,1","33,3","0,3",
Braga Winicius,Minas,NBB,Brazilian,Brazil,19,205,F,20,"2,3","7,5","2,2",2,"0,9","1,2","0,5","0,4","0,3","1,4","1,2","0,8","66,7","1,6","0,7","43,8","0,1",0,0,"0,8",
De Paula Enrico,Pinheiros,NBB,Brazilian,Brazil,19,205,C,24,"0,7","4,3","1,3","0,7","0,2","0,5",0,0,"0,1","0,6","0,2","0,1",50,"0,4","0,2",50,"0,6","0,3",50,"0,3",
Da Silva Wictor,Uniara/Arar.,NLB Southern Div.,Brazilian,Brazil,19,201,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Camilo Vinicius,Mogi,NBB,Brazilian,Brazil,19,200,F/C,4,"12,8","21,3",9,9,"2,3","6,8","0,8","0,3","0,3","2,8",4,"2,5","62,5","6,3","3,3","52,4","0,3",0,0,"2,5",
Cardoso Lucas,Corinthians,NBB,Brazilian,Brazil,19,200,F,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Raymundo Kauan,Corinthians,NBB,Brazilian,Brazil,19,200,F,27,"1,3","6,1","1,3","1,6","0,8","0,8",0,"0,6","0,1",1,"0,8","0,4",50,"0,8","0,4",50,"0,1",0,0,"0,4",
Ribeiro Bruno,Sao Jose,NBB,Brazilian,Brazil,19,200,SF,3,"0,3","3,3","1,3","0,3",0,"0,3",0,0,0,"0,3","0,7","0,7",100,"1,3","0,3","23,1",0,0,0,"0,3",
